                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.9974,                 1.1465,                 1.2271,                0.79836,                 0.7604,                0.78131,                0.31311,                 2.1437,                 1.0446,                 1.2989,              0.0081388,              0.0081388,              0.0081388
                     96,                 2.0005,                  1.135,                 1.2306,                0.83619,                0.73247,                0.80239,                0.31714,                 2.1537,                 1.0259,                 1.3175,               0.008119,               0.008119,               0.008119
                     97,                 1.9932,                 1.1313,                 1.2176,                0.81674,                0.75938,                0.79141,                0.31494,                 2.1309,                 1.0518,                 1.2891,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.9811,                 1.1193,                 1.2225,                 0.8277,                0.72108,                0.79432,                0.31539,                 2.1234,                 1.0228,                 1.2786,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.9711,                 1.1035,                 1.2124,                0.84029,                0.73173,                0.79242,                0.30846,                 2.1324,                 1.0268,                 1.2946,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.9791,                 1.1142,                 1.2137,                0.80298,                0.74614,                0.77219,                0.31962,                 2.0906,                 1.0737,                 1.2782,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.9573,                 1.1146,                 1.2101,                0.85383,                0.74393,                0.80508,                0.32888,                 2.0608,                 1.0265,                 1.2658,                0.00802,                0.00802,                0.00802
                    102,                 1.9757,                 1.1085,                 1.2163,                0.78885,                0.75055,                0.79961,                0.32732,                 2.0777,                 1.0032,                 1.2644,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.9942,                  1.135,                 1.2287,                0.84018,                0.74273,                0.80533,                0.31853,                 2.0611,                 1.0372,                 1.2674,              0.0079804,              0.0079804,              0.0079804
                    104,                  1.962,                 1.1062,                 1.2125,                0.80497,                0.73951,                0.78379,                0.31176,                 2.1475,                  1.013,                 1.2999,              0.0079606,              0.0079606,              0.0079606
                    105,                  1.981,                 1.1158,                 1.2135,                0.82317,                 0.6988,                0.77862,                0.31087,                 2.1206,                 1.0103,                 1.2811,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.9676,                 1.1079,                 1.2176,                0.82195,                0.72627,                0.78788,                0.31474,                 2.1243,                 1.0015,                 1.3005,               0.007921,               0.007921,               0.007921
                    107,                 1.9673,                  1.101,                 1.2168,                   0.84,                 0.7533,                0.79919,                0.32246,                 2.0907,                 1.0032,                 1.2779,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.9429,                 1.0836,                 1.2071,                0.84196,                0.75268,                0.79875,                0.32143,                 2.1272,                 1.0007,                 1.2952,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.9465,                 1.0824,                 1.2073,                0.80886,                0.75276,                0.80421,                0.32669,                 2.0936,                 1.0136,                 1.2873,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.9461,                 1.0936,                   1.21,                0.84029,                0.75496,                0.81204,                0.31449,                 2.0949,                0.99244,                 1.2901,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.9526,                 1.0928,                 1.2117,                0.79538,                0.72937,                0.76006,                0.31363,                  2.097,                 1.0142,                 1.2846,               0.007822,               0.007822,               0.007822
                    112,                 1.9507,                 1.0923,                 1.2072,                0.81689,                0.74172,                0.78989,                0.31668,                 2.1456,                 1.0205,                 1.2991,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.9635,                 1.0875,                  1.212,                0.83192,                 0.7351,                0.79381,                0.32026,                 2.1089,                0.99835,                 1.2864,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.9417,                 1.0819,                 1.2022,                0.84461,                0.74393,                0.80628,                0.31738,                  2.121,                0.99374,                 1.2906,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.9392,                 1.0833,                 1.2079,                0.79074,                 0.7638,                 0.7632,                0.31032,                 2.1291,                 1.0003,                  1.301,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.9445,                 1.0824,                 1.2021,                0.82948,                0.76159,                 0.8004,                0.31701,                 2.1229,                 1.0002,                 1.2951,               0.007723,               0.007723,               0.007723
                    117,                 1.9197,                 1.0758,                 1.1952,                 0.8049,                0.77263,                0.79379,                0.32328,                 2.1356,                0.98945,                 1.3101,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.9529,                 1.0746,                 1.2021,                0.85028,                0.75055,                0.80518,                0.32535,                 2.0978,                0.98413,                 1.2853,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.9274,                 1.0727,                 1.1947,                0.80656,                0.76397,                0.79842,                0.31859,                 2.1346,                  1.002,                 1.2928,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.9481,                 1.0811,                  1.201,                 0.8099,                0.77117,                0.80233,                 0.3223,                 2.1237,                 0.9878,                 1.2871,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.9432,                 1.0801,                 1.2038,                0.84585,                0.76159,                0.80475,                0.32315,                 2.0922,                 1.0154,                 1.2718,               0.007624,               0.007624,               0.007624
                    122,                 1.9313,                 1.0762,                 1.1967,                0.83521,                0.73289,                0.79993,                0.31834,                 2.0948,                 0.9998,                 1.2738,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.9404,                 1.0755,                 1.1949,                0.81618,                0.74614,                0.79131,                0.32441,                 2.1237,                0.99125,                 1.2925,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.9334,                 1.0701,                 1.1917,                0.80719,                0.75783,                0.79585,                0.31818,                 2.1708,                0.98968,                 1.3108,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.9008,                 1.0374,                 1.1846,                0.79367,                0.77925,                0.79188,                 0.3225,                 2.1596,                 1.0044,                 1.3094,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.9205,                 1.0663,                 1.1873,                 0.8106,                0.74638,                0.78496,                0.31648,                 2.1382,                0.99045,                 1.2942,               0.007525,               0.007525,               0.007525
                    127,                 1.9152,                 1.0623,                 1.1972,                0.85765,                0.72848,                0.79823,                0.32549,                 2.1046,                 0.9875,                 1.2933,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.9145,                  1.048,                 1.1979,                0.80426,                0.77097,                0.78742,                0.32611,                  2.104,                0.96982,                 1.2988,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.8985,                 1.0459,                 1.1842,                0.83305,                0.77107,                0.80549,                0.32715,                 2.1347,                0.95918,                 1.3108,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.9253,                 1.0554,                 1.1959,                0.83418,                0.78845,                0.82037,                0.33183,                 2.1098,                0.96604,                 1.2991,              0.0074458,              0.0074458,              0.0074458
                    131,                  1.919,                 1.0601,                  1.194,                0.86227,                0.73246,                0.81114,                0.32725,                 2.1257,                0.98387,                  1.298,               0.007426,               0.007426,               0.007426
                    132,                 1.9045,                 1.0455,                 1.1874,                0.80068,                0.75376,                0.79575,                0.32786,                 2.1083,                0.97269,                 1.2944,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.9151,                 1.0536,                 1.1933,                0.80759,                0.76904,                0.80228,                0.32179,                 2.1059,                0.96079,                 1.2867,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.9048,                 1.0409,                 1.1853,                0.80056,                0.76821,                0.80137,                0.32812,                 2.0946,                0.95846,                 1.2798,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.9122,                 1.0485,                 1.1893,                0.79319,                0.77483,                0.78754,                0.32812,                 2.1221,                0.98178,                 1.3047,              0.0073468,              0.0073468,              0.0073468
